OBJECTID,CT2010,TOTHHS,CV_HHS,PCT_BA,CV_BA,PCT_FB,CV_FB,PCTENGL_LT,CV_ENGL_LT,PCTSPANENG,CV_SPAN_EN,PCTUMPLD,CV_UMPLD,MEDHHINC,CV_MEDINC,PCTSNAP,CV_SNAP,PCTNOHLTH,CV_NOHLTH,PCTFAMRELC,CV_POPFAMC,POV_POP,CV_POVPOP,PERLT18_PO,CV_PERLT18,POV_65UP,CV_POV65UP,REPORT_1,REPORT_2,REPORT_3,REPORT_4,XLS_1,XLS_2,XLS_3,XLS_4
1,24029950100,1420,5.265636,18.3,13.619679,7.5,26.74772,4.8,27.862209,4.8,27.862209,7.5,31.610942,62123,5.322317,8.8,26.941144,14,16.500217,2.7,56.28729,6.8,24.137315,5.4,79.927952,5.1,46.48668,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24029950100.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24029950100.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24029950100.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24029950100.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24029950100.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24029950100.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24029950100.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24029950100.xlsx
2,24029950200,1839,6.247614,27.9,11.112201,2.2,102.238187,2.6,91.18541,2.2,107.764576,6.9,33.478701,65483,8.312327,10,24.924012,8.5,33.613445,6.7,54.439051,11,27.079304,13,53.308394,2.4,73.454914,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24029950200.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24029950200.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24029950200.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24029950200.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24029950200.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24029950200.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24029950200.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24029950200.xlsx
3,24029950300,2005,6.730893,37.2,10.458542,4,27.355623,0.4,60.790274,0,-999,10.4,33.902268,32831,23.339569,23,15.594027,9.8,19.849885,52.4,24.13049,29.3,18.880256,64.6,20.232057,8.4,53.553336,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24029950300.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24029950300.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24029950300.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24029950300.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24029950300.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24029950300.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24029950300.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24029950300.xlsx
4,24029950500,1059,6.027364,28.6,13.178311,2.6,39.747487,1.3,84.171148,1.3,84.171148,11.1,26.835346,46637,8.87277,16.5,24.316109,16.2,18.011933,1.9,73.588226,5.7,23.462913,2.6,77.156886,6.1,50.824655,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24029950500.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24029950500.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24029950500.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24029950500.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24029950500.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24029950500.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24029950500.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24029950500.xlsx
5,24029950400,1175,7.087887,35.9,12.530586,2.8,43.421624,1.9,95.984642,0,-999,3.8,46.392577,69779,11.618967,8.7,39.129371,4.6,37.002775,10.4,60.790274,8.9,37.567023,17.9,53.998064,2.8,102.040816,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24029950400.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24029950400.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24029950400.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24029950400.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24029950400.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24029950400.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24029950400.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24029950400.xlsx
6,24017850500,987,5.358413,27.7,15.801082,1.8,54.035799,0,-999,0,-999,5.3,33.262603,105231,3.456284,1.5,68.895643,7.7,26.052974,3.4,94.761309,3.1,43.141484,6.8,63.472197,4.1,74.13448,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24017850500.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24017850500.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24017850500.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24017850500.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24017850500.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24017850500.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24017850500.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24017850500.xlsx
7,24017850600,1450,4.611676,27.3,12.02445,8.2,25.947068,4.5,40.526849,0.7,78.158923,7.5,25.937183,105595,6.174305,3.7,41.074509,3.5,34.737299,1.6,102.583587,2.5,41.337386,3.2,53.191489,2.2,93.948605,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24017850600.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24017850600.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24017850600.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24017850600.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24017850600.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24017850600.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24017850600.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24017850600.xlsx
8,24017851002,3283,4.943955,28.3,10.310718,2.9,35.635678,0.9,60.790274,0.2,91.18541,6.5,27.121814,97429,11.889883,7.4,35.324078,5,25.531915,16.5,40.526849,9.9,29.474072,18.5,38.774337,13.2,37.763655,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24017851002.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24017851002.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24017851002.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24017851002.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24017851002.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24017851002.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24017851002.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24017851002.xlsx
9,24017851100,1008,5.307087,29,14.044649,4.1,42.997998,3.6,55.724417,2.9,67.078923,3.1,41.180508,90128,5.671771,1.7,92.97336,6.4,42.743161,0,-999,2.8,41.250543,4.4,80.132633,4.6,97.793049,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24017851100.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24017851100.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24017851100.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24017851100.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24017851100.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24017851100.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24017851100.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24017851100.xlsx
10,24017850300,730,6.995045,12.9,23.090879,0.3,101.317123,0,-999,0,-999,16.4,19.645637,76500,19.839085,9.2,33.038192,6.3,33.772374,8,59.270517,7.8,46.761749,15.2,65.989442,5.9,52.547525,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24017850300.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24017850300.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24017850300.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24017850300.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24017850300.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24017850300.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24017850300.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24017850300.xlsx
